season,utcDate,matchday,homeTeam,awayTeam,homeScore,awayScore,winner
2023,2024-03-01T19:30:00Z,24,SC Freiburg,FC Bayern München,2,2,DRAW
2023,2024-03-02T14:30:00Z,24,1. FC Union Berlin,Borussia Dortmund,0,2,AWAY_TEAM
2023,2024-03-02T14:30:00Z,24,VfL Bochum 1848,RB Leipzig,1,4,AWAY_TEAM
2023,2024-03-02T14:30:00Z,24,1. FC Heidenheim 1846,Eintracht Frankfurt,1,2,AWAY_TEAM
2023,2024-03-02T14:30:00Z,24,1. FSV Mainz 05,Borussia Mönchengladbach,1,1,DRAW
2023,2024-03-02T14:30:00Z,24,SV Darmstadt 98,FC Augsburg,0,6,AWAY_TEAM
2023,2024-03-02T17:30:00Z,24,VfL Wolfsburg,VfB Stuttgart,2,3,AWAY_TEAM
2023,2024-03-03T14:30:00Z,24,1. FC Köln,Bayer 04 Leverkusen,0,2,AWAY_TEAM
2023,2024-03-03T16:30:00Z,24,TSG 1899 Hoffenheim,SV Werder Bremen,2,1,HOME_TEAM
2023,2024-03-08T19:30:00Z,25,VfB Stuttgart,1. FC Union Berlin,2,0,HOME_TEAM
2023,2024-03-09T14:30:00Z,25,FC Bayern München,1. FSV Mainz 05,8,1,HOME_TEAM
2023,2024-03-09T14:30:00Z,25,Borussia Mönchengladbach,1. FC Köln,3,3,DRAW
2023,2024-03-09T14:30:00Z,25,FC Augsburg,1. FC Heidenheim 1846,1,0,HOME_TEAM
2023,2024-03-09T14:30:00Z,25,RB Leipzig,SV Darmstadt 98,2,0,HOME_TEAM
2023,2024-03-09T17:30:00Z,25,SV Werder Bremen,Borussia Dortmund,1,2,AWAY_TEAM
2023,2024-03-10T14:30:00Z,25,VfL Bochum 1848,SC Freiburg,1,2,AWAY_TEAM
2023,2024-03-10T16:30:00Z,25,Eintracht Frankfurt,TSG 1899 Hoffenheim,3,1,HOME_TEAM
2023,2024-03-10T18:30:00Z,25,Bayer 04 Leverkusen,VfL Wolfsburg,2,0,HOME_TEAM
2023,2024-03-15T19:30:00Z,26,1. FC Köln,RB Leipzig,1,5,AWAY_TEAM
2023,2024-03-16T14:30:00Z,26,SV Darmstadt 98,FC Bayern München,2,5,AWAY_TEAM
2023,2024-03-16T14:30:00Z,26,1. FC Heidenheim 1846,Borussia Mönchengladbach,1,1,DRAW
2023,2024-03-16T14:30:00Z,26,1. FC Union Berlin,SV Werder Bremen,2,1,HOME_TEAM
2023,2024-03-16T14:30:00Z,26,1. FSV Mainz 05,VfL Bochum 1848,2,0,HOME_TEAM
2023,2024-03-16T14:30:00Z,26,VfL Wolfsburg,FC Augsburg,1,3,AWAY_TEAM
2023,2024-03-16T17:30:00Z,26,TSG 1899 Hoffenheim,VfB Stuttgart,0,3,AWAY_TEAM
